"i","x","y"
1,355.37,305.09999023
1,354.30375,305.03899023
1,353.38,304.91029023
1,352.6225,304.49779023
1,352.15,304.16029023
1,351.91,303.40029023
1,351.67,302.64029023
1,351.14875,301.13529023
1,350.35,299.42029023
1,349.80375,299.06029023
1,348.83,298.85029023
1,348.01375,298.81329023
1,347.13,298.85029023
1,346.0125,297.91399023
1,345.33,296.76029023
1,344.5425,295.99029023
1,343.05,294.86029023
1,341.51377,294.08689023
1,339.92,293.44029023
1,339.3025,293.07279023
1,338.97,292.78029023
1,338.1875,291.79529023
1,336.97,290.60029023
1,335.675,289.87149023
1,334.8,289.36029023
1,333.17,288.99029023
1,331.54,288.62029023
1,331.76,288.48149023
1,331.95,287.75029023
1,332.0375,286.65029023
1,332.05,286.33029023
1,332.05,286.00029023
1,332.05,285.67029023
1,331.575,285.19529023
1,331.1,284.72029023
1,330.58,284.81529023
1,330.06,284.91029023
1,329.775,284.67029023
1,329.49,284.43029023
1,329.205,284.05529023
1,328.92,283.68029023
1,328.7525,283.64229023
1,327.88,283.68029023
1,326.73783,283.80259023
1,325.6,283.96029023
1,324.81875,284.04729023
1,323.61,284.06029023
1,321.7125,283.91529023
1,320.67,283.77029023
1,320.815,283.25029023
1,320.96,282.73029023
1,320.295,282.68029023
1,319.63,282.63029023
1,319.155,282.63029023
1,318.68,282.63029023
1,318.825,282.01529023
1,318.97,281.40029023
1,317.5,281.50029023
1,316.03,281.60029023
1,315.7325,281.78529023
1,314.79,281.40029023
1,313.95125,280.69029023
1,313.75,280.55029023
1,313.515,280.36029023
1,313.28,280.17029023
1,313.09,279.46029023
1,312.9,278.75029023
1,312.25,278.57529023
1,311.6,278.40029023
1,311.735,278.16529023
1,311.87,277.93029023
1,311.77,277.33029023
1,311.67,276.73029023
1,311.47,276.39029023
1,311.27,276.05029023
1,311.635,275.55029023
1,312,275.05029023
1,312.3,274.61029023
1,312.6,274.17029023
1,313.375,273.57029023
1,314.15,272.97029023
1,314.2,272.42649023
1,314.55,271.83029023
1,315.87375,271.36029023
1,317.1,270.89029023
1,317.56,270.82929023
1,318.17,270.81929023
1,319.2275,270.61929023
1,320.18,270.41929023
